,Q1_ORTHODOX_SCREENER,Q2_MODERN_YESHIVISH_HAREDI,Q3_MODERN_LEFT_RIGHT,Q4_AGE,Q5_GENDER,Q6_MARITAL_Status,Q7_AGE_DIVORCED,Q8_BROKEN_ENGAGEMENT,Q9_Ashkenazi,Q9_Sephardi,Q9_Mizrahi,Q9_FSUEmigre,Q9_JewColor,Q9_LatinAmerican,Q9_LGBTQ,Q9_Disability,Q9_Convert,Q9_BaalTeshuvah,Q9_OtherOrthodox,Q9_OtherOrth_text,Q10_FREQUENCY_SHABBAT_SHUL,Q11_PANDEMIC_SHUl_COMPARE,Q12_PRIMARY_SHUL,Q13_Welcome,Q13_ShulCares,Q13_ShulPrograms,Q13_GoodRelationship,Q14_LOCAL_SHUL,Q14_SHUL_ELSEWHERE,Q14_LOCAL_ORTH_ORGS,Q14_LOCAL_NONORTHODOX_ORGS,Q14_SOCIAL_GROUPS,Q14_NATIONAL_JEWISH_ORGS,Q14_ONLINE_JEWISH,Q14_INDIVIDUALS,Q15_CONNECTED,Q15_FRIENDS,Q16_OBSERVANTJEW,Q16_SHABBAT_STRESS_FREE,Q16_FINANCES_COMFORTABLE,Q16_HAPPYFAMILY,Q16_HAPPY_SOCIALLY,Q17_MARRIAGE_GOAL,Q17_EDUCATION,Q17_CAREER,Q17_RELIG_GROWTH,Q17_PERSONAL_GROWTH,Q17_INDEPENDENCE,Q17_FINANCIAL_SUCCESS,Q17_HEALTH,Q17_CALMNESS,Q17_HAPPINESS,Q17_HELPING_OTHERS,Q18_DATING_AMOUNT,Q19A_YRS_DATING_SINGLE,Q19B_YRS_DATE_DIVORCED_SEP,Q19C_YRS_DATE_WIDOWED,Q20_FUTURE_DATING,Q21_COMMUNITY_EVENTS,Q21_SOCIAL_GATHERING,Q21_BLIND_DATES,Q21_TAKE_INITIATIVE,Q21_SHADCHANIN,Q21_ONLINE_JEWISH,Q21_JEWISH_MEDIA,Q21_ONLINE_NONJEWISH,Q21_ONLINE_NONJEW_MEDIA,Q22_RECO_MATCHMAKER,Q23_JEW_EVENTS,Q23_GATHERINGS,Q23_BLIND_DATES,Q23_TAKE_INITIATIVE,Q23_SHADCHANIM,Q23_ONLINE_JEWISH,Q23_JEWISH_MEDIA,Q23_ONLINE_NON_JEWISH,Q23_NON_JEW_MEDIA,Q23_ANY_OTHER,Q23_OTHER_TEXT,Q24_AMOUNT_INVESTIGATION,Q25_PARENT_INVOLVED,Q26_SOURCE_RECOM,vaQ26_APPEARANCE,Q26_INTELLIGENCE,Q26_FINANCES,Q26_SECULAR_EDUCATION,Q26_PROFESSION,Q26_FAMILY_BACKGROUND,Q26_WHERE_LIVES,Q26_AGE,Q26_JEWISH_KNOWLEDGE,Q26_RELIGIOUSITY,Q26_HASHKAFA_WORLDVIEW,Q26_ZIONISM_ALIYAH,Q26_FAMILY_PLANS,Q26_HOBBIES_ACTIVITIES,Q26_FEELING_LOVE,Q26_GENOROSITY,Q26_AMBITION,Q26_CALMNESS,Q26_COMPASSION,Q26_HONESTY,Q26_FLEXIBILITY,Q26_RESPECTS_OTHERS,Q26_ACCEPTS_ME_AS_AM,Q26_PARENTS_APPROVE,Q26_HUMBLE,Q26_NOT_BOSSY,Q27_RATING_DATING,Q31_EDUCATION,Q32_JEWISH_COLLEGE,Q33_INCOME,Q34_WHERE_LIVE,MARRIED_SINGLE,ID_CASE_NUMBER
0,10001,10003,10007,10011,10020,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10044,10047,10049,10049,10049,10050,1,0,1,1,1,1,1,1,10069,10069,10073,10074,10074,10073,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10158,10159,,10169,1,1
1,10001,10003,10008,10010,10020,10023,,10185,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10050,10051,10053,10052,1,1,0,0,0,0,0,1,10069,10071,10073,10073,10073,10074,10076,1,1,0,1,0,1,0,0,1,0,0,10080,1,,,10089,10095,10095,10095,10095,10092,10093,10095,10095,10095,10484,0,0,0,0,1,1,0,0,0,1,Friends and Family,10474,10188,10143,10228,10140,10228,10228,10229,10229,10228,10229,10139,10139,10140,10140,10143,10393,10393,10392,10394,10392,10390,10391,10391,10391,10391,10390,10392,10392,3,10157,10159,10162,10169,2,2
2,10001,10003,10007,10011,10020,10023,,10185,1,0,0,0,0,0,0,0,0,0,0,,10039,10046,10047,10050,10051,10050,10053,1,1,0,0,0,0,0,1,10069,10069,10073,10074,10077,10074,10074,1,1,0,0,1,1,1,0,0,0,0,10080,4,,,10088,10095,10095,10093,10095,10093,10093,10095,10095,10095,10484,0,0,1,0,1,1,0,0,0,0,,10474,10188,10140,10140,10139,10143,10143,10143,10143,10228,10139,10139,10139,10139,10143,10143,10392,10390,10390,10391,10390,10390,10390,10390,10390,10390,10392,10390,10390,3,10158,10159,10162,10169,2,3
3,10001,10003,10007,10011,10020,10023,,10185,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10050,10050,10050,10052,1,1,1,0,0,0,0,1,10069,10068,10073,10074,10074,10076,10073,1,1,0,1,1,0,0,0,1,0,0,10078,5,,,10089,10093,10093,10093,10092,10094,10094,10095,10095,10095,10484,1,0,1,1,0,0,0,0,0,0,,10474,10189,10229,10140,10140,10143,10143,10143,10229,10228,10143,10140,10139,10143,10139,10229,10390,10390,10390,10391,10391,10390,10391,10390,10391,10390,10391,10391,10391,7,10157,10159,10162,10169,2,4
4,10001,10004,,10012,10020,10022,,,0,0,0,0,0,0,0,0,0,0,0,,10042,10045,10047,,,,,1,0,1,0,1,1,0,1,10068,10068,10073,10073,10073,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10158,10159,,10169,1,5
5,10001,10003,10007,10012,10020,10022,,,1,0,0,0,0,0,0,1,0,0,0,,10042,10045,10047,,,,,1,1,1,1,0,0,0,1,10068,10068,10073,10075,10073,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10157,10160,,10169,1,6
6,10001,10003,10007,10015,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10040,10045,10047,10050,10052,10051,10052,1,0,1,0,0,0,0,1,10069,10071,10075,10074,10074,10073,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,7
7,10001,10003,10006,10016,10019,10023,,10185,1,0,0,0,0,0,0,0,0,0,0,,10040,10044,10047,10050,10052,10053,10051,1,1,1,1,0,1,0,1,10069,10071,10074,10075,10074,10077,10077,1,1,1,0,0,0,1,1,0,0,0,10081,20,,,10089,10093,10093,10093,10094,10093,10093,10095,10094,10094,10485,,,,,,,,,,,,10476,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10157,10160,10168,10169,2,8
8,10001,10003,10008,10013,10019,10023,,10185,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10050,10049,10049,1,0,0,0,0,0,0,1,10068,10068,10073,10073,10073,10073,10073,1,0,1,0,0,0,1,0,1,1,0,10078,11,,,10088,10095,10095,10092,10095,10093,10093,10095,10095,10095,10484,0,0,1,0,1,1,0,0,0,0,,10475,10190,10140,10140,10140,10143,10139,10143,10228,10140,10143,10140,10140,10140,10229,10229,10392,10391,10391,10392,10391,10391,10391,10391,10391,10390,10394,10392,10391,6,10158,10161,10164,10169,2,9
9,10001,10004,,10012,10019,10022,,,1,1,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10051,10049,1,1,1,0,0,0,0,1,10068,10069,10073,10074,10075,10074,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10157,10159,,10169,1,10
10,10001,10005,,10013,10019,10022,,,1,0,0,0,0,0,0,0,0,0,1,Chasidish,10039,10045,10047,10049,10049,10049,10049,1,0,1,0,0,0,0,0,10068,10068,10073,10073,10074,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10158,10159,,10169,1,11
11,10001,10003,10006,10013,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10042,10043,10047,,,,,1,1,0,0,0,0,1,1,10069,10069,10073,10074,10073,10074,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10158,10160,,10169,1,12
12,10001,10004,,10013,10019,10023,,10185,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10051,10049,1,0,1,0,0,0,1,1,10069,10070,10073,10073,10074,10075,10075,1,0,0,1,1,1,0,1,0,0,0,10080,7,,,10089,10095,10095,10095,,10094,10095,,10095,10095,10484,0,0,0,0,1,0,0,0,0,1,Friends,10474,10190,10143,10143,10139,10143,10229,10143,10228,10228,10140,10139,10139,10139,10229,10229,10392,10391,,10392,10391,10391,10390,10391,10391,10390,10393,10391,10391,6,10155,,10163,10169,2,13
13,10001,10005,,10016,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10049,10049,1,1,0,0,0,0,0,1,10068,10069,10073,10073,10073,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10156,10160,,10169,1,14
14,10001,10005,,10011,10020,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10040,10043,10047,10049,10051,10050,10052,1,0,1,0,1,0,0,1,10068,10068,10073,10073,10074,10073,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10156,10159,,10169,1,15
15,10001,10003,10006,10017,10020,10023,,10185,1,0,0,0,0,0,0,0,0,1,1,Pluralistic,10039,10043,10047,10050,10050,10050,10049,1,1,1,1,1,1,1,1,10069,10069,10073,10073,10076,10076,10076,0,1,0,1,1,0,0,1,0,1,0,10081,,,,10088,10093,10093,10095,10094,10095,10094,10094,10095,10094,,1,1,0,0,1,0,0,0,0,0,,10475,10189,10140,10140,10139,10139,10139,10139,10143,10140,10139,10143,10143,10139,10228,10229,10392,10390,10390,10392,10390,10390,10390,10390,10390,10390,10394,10390,10390,4,10158,10160,10163,10169,2,16
16,10001,10003,10006,10017,10020,10025,42,10185,1,0,0,0,0,0,0,0,0,0,0,,10039,10044,10047,10049,10050,10050,10049,1,1,1,1,0,0,1,1,10069,10069,10073,10074,10074,10074,10075,0,0,0,0,0,0,0,1,1,1,1,10081,,15,,10089,10093,10094,10094,10093,10095,10094,10094,10095,10095,,,,,,,,,,,,,10476,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10158,10160,10168,10169,2,17
17,10001,10003,10008,10013,10019,10022,,,1,0,0,0,0,0,0,0,1,0,0,,10039,10044,10047,10049,10049,10050,10049,1,1,1,1,1,1,1,1,10069,10068,10073,10074,10075,10074,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10158,10160,,10169,1,18
18,10001,10003,10007,10017,10020,10023,,10184,1,0,0,0,0,0,0,0,0,0,0,,10042,10043,10047,,,,,1,0,1,0,1,0,0,1,10069,10068,10074,10076,10075,10074,10073,0,0,0,1,1,0,1,0,0,1,0,10079,5,,,10089,10094,10093,10095,10095,10095,10095,10093,10095,10095,,0,0,0,1,0,0,0,0,0,0,,10474,10189,10140,10143,10139,10140,10140,10143,10143,10140,10140,10140,10143,10140,10143,10229,10392,10390,10391,10392,10391,10390,10390,10390,10390,10390,10394,10390,10391,5,10157,10160,10164,10169,2,19
19,10001,10003,10006,10012,10019,10024,,,1,1,0,0,0,0,0,0,0,0,0,,10039,10044,10047,10050,10051,10051,10051,1,1,1,1,0,0,1,0,10069,10069,10073,10077,10073,10075,10075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20
20,10001,10003,10007,10014,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10049,10049,1,1,1,0,0,1,1,1,10069,10069,10073,10075,10076,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10158,10160,,10169,1,21
21,10001,10003,10007,10014,10020,10022,,,1,0,0,1,0,0,0,0,1,0,0,,10039,10045,10047,10049,10049,10049,10049,1,1,1,1,1,1,1,1,10068,10068,10073,10073,10073,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10158,10160,,10169,1,22
22,10001,10004,,10016,10020,10025,45,10185,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10050,10053,10049,1,0,0,0,0,1,1,1,10068,10068,10073,10075,10076,10074,10074,0,0,1,1,1,0,0,1,1,0,0,10081,,0,,10088,10095,10095,10095,10095,10095,10095,10095,10095,10095,,0,0,0,0,0,0,0,0,0,0,,,10189,10143,10143,10140,10228,10143,10140,10228,10140,10143,10140,10140,10140,10228,10229,10393,10390,10390,10392,10390,10390,10390,10390,10390,10390,10394,10392,10390,4,10158,10161,10168,10169,2,23
23,10001,10004,,10012,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10050,10050,10050,1,0,0,0,0,0,0,1,10069,10069,10073,10074,10073,10073,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10158,10161,,10169,1,24
24,10001,10004,,10016,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10049,10049,1,1,1,0,0,0,1,1,10069,10068,10073,10074,10074,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10158,10159,,10169,1,25
25,10001,10003,10006,10015,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10050,10051,1,1,1,1,0,1,1,1,10069,10069,10073,10074,10074,10073,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10158,10160,,10169,1,26
26,10001,10004,,10013,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10049,10050,1,1,1,0,0,0,0,1,10068,10071,10073,10073,10076,10073,10076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10158,10159,,10169,1,27
27,10001,10003,10006,10014,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10049,10050,1,1,1,1,0,0,1,0,10069,10070,10073,10075,10074,10073,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10158,10160,,10169,1,28
28,10001,10004,,10015,10020,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10042,10045,10047,,,,,1,0,1,0,0,0,0,1,10068,10068,10073,10074,10074,10074,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10156,10161,,10169,1,29
29,10001,10003,10006,10012,10019,10023,,10185,1,0,0,1,0,0,0,0,0,1,0,,10039,10045,10047,10049,10049,10050,10050,1,1,1,1,1,1,1,1,10069,10069,10074,10073,10074,10075,10074,1,0,1,1,1,0,0,0,0,0,1,10079,1.5,,,10087,10095,10095,10095,10095,10092,10093,10095,10095,10095,10483,1,0,0,0,1,0,0,0,0,1,I plan to move to an area with a larger Jewish community (New York).,10475,10189,10143,10143,10140,10229,10140,10140,10228,10140,10140,10140,10139,10139,10229,10140,10391,10391,10391,10391,10391,10390,10390,10391,10390,10390,10391,10391,10392,8,10158,10160,10162,10169,2,30
30,10001,10005,,10015,10020,10023,,10185,1,0,0,1,0,0,0,0,0,1,0,,10042,10044,10047,,,,,1,1,1,0,0,0,0,1,10069,10072,10073,10073,10073,10073,10073,0,0,0,1,1,0,0,0,1,0,1,10081,2,,,10089,10095,10095,10095,10095,10095,10095,10095,10095,10095,,,,,,,,,,,,,10474,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10158,10160,10168,10169,2,31
31,10001,10003,10007,10014,10020,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10051,10051,10051,10049,1,0,0,0,0,0,0,0,10070,10070,10075,10075,10077,10076,10076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10158,10159,,10169,1,32
32,10001,10003,10008,10014,10020,10023,,10185,1,0,0,0,0,0,0,0,0,0,1,,10042,10043,10048,,,,,0,1,0,0,0,0,1,1,10071,10069,10073,10075,10073,10075,10075,1,0,0,0,1,1,1,0,0,1,0,10081,16,,,10089,10093,10093,10094,10094,10093,10093,10093,10095,10094,10485,,,,,,,,,,,,10474,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10157,10160,10165,10169,2,33
33,10001,10003,10008,10015,10019,10022,,,0,1,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10049,10049,1,0,1,0,0,1,0,1,10068,10068,10073,10073,10074,10073,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10158,10160,,10169,1,34
34,10001,10003,10008,10013,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10050,10050,10052,10050,1,1,1,1,1,1,1,1,10071,10069,10073,10074,10073,10073,10075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10158,10160,,10169,1,35
35,10001,10003,10006,10013,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10040,10044,10047,10053,10053,10052,10053,1,1,1,1,1,1,1,1,10071,10072,10073,10073,10073,10073,10076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10158,10159,,10169,1,36
36,10001,10004,,10012,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10050,10050,10050,10049,1,1,1,0,0,0,0,1,10069,10070,10073,10074,10074,10074,10075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10157,10159,,10169,1,37
37,10001,10004,,10014,10020,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10042,10045,10047,,,,,1,1,0,0,0,0,0,1,10071,10071,10074,10076,10074,10074,10076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10158,10161,,10169,1,38
38,10001,10003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
39,10001,10003,10006,10018,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10050,10051,10051,10050,1,0,1,0,0,1,0,1,10069,10069,10073,10073,10073,10075,10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10158,10160,,10169,1,40
40,10001,10005,,10013,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10046,10047,10049,10049,10049,10049,1,1,0,0,0,0,0,0,10068,10068,10073,10073,10073,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10155,,,10169,1,41
41,10001,10004,,10014,10019,10022,,,1,0,0,0,0,0,0,0,0,0,0,,10039,10045,10047,10049,10049,10049,10049,1,1,1,1,0,0,0,1,10068,10068,10073,10073,10073,10073,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10189,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10158,10161,,10169,1,42
